identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
cliftoncameras-4c2c6031c4be749b13b586c21fb37ee5,Leica TL Body - Titanium,GBP,1199.00,Leica,,http://schema.org/InStock,"
Based on the Leica T, the new Leica TL continues this innovative camera concept with additional features and design changes.             	     ",/uploads/variants/LeicaTLTitanium.png,,,,,,,
cliftoncameras-a5a811891026389906be6845398cce45,Olympus OM-D E-M10 II with 14-42 EZ and 40-150mm Double Lens Kit - Silver,GBP,619.00,Olympus,,http://schema.org/InStock,"
Cool and classically styled with some beautiful switches and dials, the E-M10 Mark II combines a compact all-metal body with some of the most advanced technology from the E-M1 and E-M5 Mark II.
             	     ",/uploads/variants/OlympusEM10IITwinKitSilver.png,,,,,,,
cliftoncameras-5e1a78c6ef01d9f1614ed3f19d10ba53,Yuneec Typhoon H Advanced Hexacopter Drone,GBP,829.00,Yuneec Ltd.,,http://schema.org/InStock,"
The Typhoon H Advanced Hexacopter is a high tech aerial photography and videography platform. The Typhoon H Advanced Hexocopter is equiped with a Ultra Sonic Anti-Collision System to prevent collision which will allow the pilot to then maneuver the drone safely round the object.             	     ",/uploads/products/YuneecTyphoonHAdvanced1.png,,,,,,,
cliftoncameras-991be6fd12211e689fbc3bb5d6249bc5,DJI Spark Fly More Combo Alpine White - Ex-Demonstration Model,GBP,545.00,DJI Drones,,http://schema.org/InStock,"
*12 Months Warranty! - This Product has been used for demonstration purposes - Product Is Like Brand New Unit*
Spark is a mini drone that features all of DJI's signature technologies, allowing you to seize the moment whenever you feel inspired.             	     ",/uploads/products/DJISparkExdemonstrationModel.jpg,,,,,,,
cliftoncameras-f06bfced7b1f9f6e68b226f6446a48dc,Panasonic LUMIX DMC-G7 Digital Camera Body,GBP,475.00,Panasonic,,http://schema.org/InStock,"
Combines stunning 4K (30p/24p) video, high resolution stills and a variety of practical new enhancements to help anyone capture the perfect image.             	     ",/uploads/products/PanaG7Body.png,,,,,,,
cliftoncameras-0a07a302175cc67f3421d30ce5fa1864,DJI Goggles RE OcuSync Cylindrical Antenna,GBP,9.00,DJI Drones,,http://schema.org/InStock,"
The OcuSync Cylindrical Antenna is a dual-frequency LHCP antenna, which can be connected on the Air Unit via the MMCX interface to provide smoother video transmission.             	     ",/uploads/products/DJIGogglesREOcuSyncCylindricalAntenna.png,,,,,,,
cliftoncameras-a3386f9583a9293bdf01171ffbd17133,GoPro Karma Propellers,GBP,24.00,GoPro,,http://schema.org/InStock,"
The Karma Propellers from GoPro feature a high-efficiency design, enabling the Karma to fly with less noise and vibration compared to conventional propellers. A complete set of four is included, and they are color coded for easy installation.             	     ",/uploads/products/GoProKarmaPropellers.png,,,,,,,
cliftoncameras-301a54037c3a5bfba90381e72f8527b3,DJI Goggles RE OcuSync 3-in-1 Cable,GBP,6.00,DJI Drones,,http://schema.org/InStock,"
The 3-in-1 Cable (power, S-Bus, and UART) connects the power source and flight controller to the S-Bus interface on the OcuSync Air Unit.             	     ",/uploads/products/DJIGogglesREOcuSync3in1Cable.png,,,,,,,
cliftoncameras-3ff02e2ec4b9a8526a937436ec48fc99,Leica SOFORT Foto Album,GBP,21.25,Leica,,http://schema.org/InStock,"
Show off your Sofort instant film photos with this 8-page Sofort Photo Album from Leica.             	     ",/uploads/products/LeicaSofortPhotoalbum.png,,,,,,,
cliftoncameras-09eb9dc5114a97e0d425d893373f6628,Leica SOFORT Monochrom Film Pack,GBP,12.00,Leica,,http://schema.org/InStock,"
With the warm-white frame around every picture, Leica instant picture film lends every special moment you capture a unique look and feel.              	     ",/uploads/products/LeicaSofortMonochromFilmPack.png,,,,,,,
cliftoncameras-5987430695817b53f8a52b99d875b98f,DJI Goggles Racing Edition,GBP,549.00,DJI Drones,,http://schema.org/InStock,"
DJI Goggles deliver FPV video with ultimate speed, stability, and clarity. The OcuSync Video Transmission Module offers 2.4 and 5.8 GHz dual-band digital video transmission with latency as low as 50 ms and a maximum control range of up to 7 km.             	     ",/uploads/products/DjiGogglesRacingEditionProductImage1.png,,,,,,,
cliftoncameras-24c28c6d80d98856097a2fb92cb34fbb,Panasonic HC-VXF1EB-K 4K Video Camera,GBP,849.00,Panasonic,,http://schema.org/InStock,"
Take a great footage with stunning new Leica lens (25mm Wide-Angle, 24x Optical Zoom) and state-of-the-art High Precision AF.              	     ",/uploads/products/PanasonicVXF1VideoCameraPI1.png,,,,,,,
