,id,name,prod_cat,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
236,buydig-4157093b9d8dbec89d7c93c956065b07,D7500 20.9MP DSLR Camera with AF-S 16-80mm ED VR Lens + 64GB Memory & Flash Kit,,USD,1846.95,Nikon,,,,https://static.buydig.com/Assets/Product/ImagesNw400/FE2490F9ECA546AC9BF75DB8D1E028C4.jpg,,,,,,5,
237,buydig-41778dd343fe9db0723bb3b454991d1d,PEN E-PL8 16.1 MP Wi-Fi White Mirrorless Digital Camera Body,,USD,449.00,Olympus,,,"Stylish, Distinctive Compact Design, 16 MP Live MOS Sensor, Supersonic Wave Filter Sensor Dust Reduction System, 3-Axis In-Body Image Stabilization System, High-Speed 8.5fps Sequential Shooting, 3.0"" 180 Deg. Downward Flip Touch LCD Monitor",https://static.buydig.com/Assets/Product/ImagesNw400/CE11B6DFC3E74CD19DAE980CD8EBC6C4.jpg,,,,,,5,
238,buydig-418596f5e7a8043e141d5c54b1ab3149,D810 FX-format Digital SLR Camera with 24-120mm f/4G ED VR Lens,,USD,3296.95,Nikon,,,"FX Format, 36.3 Megapixels, 5 FPS Continuous Shooting, 64-12,800 ISO Expandable to 51,200, Full HD 1080p at 60/50/30/25/24p, Includes 24-120mm VR Lens",https://static.buydig.com/Assets/Product/ImagesNw400/94F2F919ED304C6CA1E9BB47D727B749.jpg,,,,,,5,
239,buydig-41df574cf80a2fc55f5d0371dc335d4a,LUMIX G7 Interchangeable Lens 4K Video DSLM Camera w/ 14-140mm Lens 64GB Bundle,,USD,1097.99,Panasonic,,,,https://static.buydig.com/Assets/Product/ImagesNw400/2F2271E9A0D7403FB292FCBE1E6D5785.jpg,,,,,,5,
240,buydig-41ef90d1d46cc2ca97e3c5ae3d3a12ed,D610 FX-format 24.3 MP 1080p video Digital SLR Camera Body Only Kit,,USD,1496.95,Nikon,,,,https://static.buydig.com/Assets/Product/ImagesNw400/52CD0DAABE834885928AB2C08CFE8169.jpg,,,,,,5,
241,buydig-4259b503dc722bdaf9f801929eec2deb,HDR-CX675/B Full HD Handycam Camcorder w/Exmor R CMOS - OPEN BOX,,USD,422.00,Sony,,,"<li>Balanced Optical SteadyShot with 5-axis Intelligent Active mode
<li>Fast Intelligent AF
<li>26.8 mm wide-angle G Lens with 30x optical zoom
<li>Time-lapse Capture
<li>Highlight Movie Maker",https://static.buydig.com/Assets/Product/ImagesNw400/6FF430A7DF5D474BAFE5075D08728C50.jpg,,,,,,5,
242,buydig-42907c34c7a3fc67ab1e18732994ac68,1080P Digital Video Recorder DVR960 - Black 4GB Accessory Kit,,USD,59.00,Vivitar,,,"<li>2.7-Inch Preview Screen
<li>8.1MP still image resolution
<li>12X Optical Zoom
<li>Anti-Shake
<li>Kit Includes: case, 4GB memory card, and 2 tripods",https://static.buydig.com/Assets/Product/ImagesNw400/A0A7048A8F4C486AA22D2A5EC69865FA.jpg,,,,,,5,
243,buydig-42bdbd934e56d6e2be29b67f670160d3,ILCE-6500 a6500 4K Mirrorless Camera Body w/ APS-C Sensor (Black),,USD,1398.00,Sony,,,"<li>24.2 MP Exmor CMOS image sensor
<li>In-body 5-axis image stabilization
<li>425 phase-detection AF points with High-density Tracking AF Technology
<li>4K movie recording",https://static.buydig.com/Assets/Product/ImagesNw400/8BDE8A7AB0804CB2B305CE907C3FDBDD.jpg,,,,,,5,
244,buydig-42ea9b10ff288d68a5de80699e9db6e7,"DMC-ZS70K Lumix 20.3 MP 4K Digital Camera Black w/ Wi-Fi + 3"" LCD (OPEN BOX)",,USD,397.99,Panasonic,,,"<li>20.3 Megapixel MOS sensor + 30X LEICA DC VARIO-ELMAR Lens (24-270mm)
<li>5-axis HYBRID O.I.S. (Optical Image Stabilizer)
<li>0.2-inch 1,166k-dot EVF (Electronic View Finder)
<li>4K QFHD video recording (3840x2160)
<li>AC/USB travel charging port
",https://static.buydig.com/Assets/Product/ImagesNw400/D15C2AEB5CA04A73A05E0B1C53552799.jpg,,,,,,5,
245,buydig-42f0f8f02f24ff21659a9141f0e62892,Alpha 7II Mirrorless Interchangeable Lens Camera - Body Only - OPEN BOX,,USD,999.00,Sony,,,"World's first full-frame camera with 5-axis image stabilization, Enhanced Fast Hybrid AF, 24.3MP 35mm full-frame Exmor CMOS sensor, BIONZ X image processing engine, High 50Mbps bit-rate XAVC S format recording, Exceptionally compact, lightweight body",https://static.buydig.com/Assets/Product/ImagesNw400/8EAE22E6AC2F4125ACBC05CEED8F7804.jpg,,,,,,5,
