identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
flipkart-0d571bfa11a80fa0bcbf3fec971397d0,dji osmo osmo Sports and Action Camera,,,dji,,,,https://rukminim1.flixcart.com/image/128/128/jf751u80/sports-action-camera/s/k/r/osmo-osmo-osmo-dji-original-imaf3ptte6gdds9t.jpeg?q=70,,,,,,,
flipkart-0edbc166857a42d88ed4c5e4b2f84e3a,Nikon D3300 DSLR Camera Body with Lens: AF-P 18-55mm VR + AF-P DX NIKKOR 70-300mm f/4.5-6.3G ED VR Kit (16 GB SD Card + Camera Bag),,,Nikon,,,,https://rukminim1.flixcart.com/image/128/128/dslr-camera/g/a/6/nikon-d3300-original-imaezdkusse8fnat.jpeg?q=70,,,,,4.5,,1605
flipkart-0f855f765ef871bf3345d248b6e1c63f,Mobilegear SJCAM SJ4000 12 MP WiFi 1080P Full HD Waterproof Digital Action Camera & Sports Camcorder With Accessories Body only Sports & Action Camera,,,Mobilegear,,,,https://rukminim1.flixcart.com/image/128/128/camera/x/a/h/mobilegear-powershot-sjcam-sj4000-12-mp-wifi-1080p-full-hd-original-imaefghafftpqzuc.jpeg?q=70,,,,,3.6,,6
flipkart-111f4786fb75058a4d3a6a5bccf57036,Fujifilm Instax Mini 8 Instant Camera,,,Fujifilm,,,,https://rukminim1.flixcart.com/image/128/128/camera/y/k/e/fujifilm-instax-mini-8-original-imaeb82rwgytpyuv.jpeg?q=70,,,,,4.4,,83
flipkart-166f32249d4a02509781472529e503a8,CM SPORTSCAM CAMERA WATERPROOF HD 1020P Sports and Action Camera,,,CM,,,,https://rukminim1.flixcart.com/image/128/128/sports-action-camera/b/k/a/sportcam-sportcam2-cm-waterproof-in-hd-p-original-imaemuynec4fafs2.jpeg?q=70,,,,,,,
flipkart-168ffc69cd6349607835480104706dcb,,,,,,,,,,,,,,,
flipkart-1720bd5d9892a122cadcdaf451a37690,,,,,,,,,,,,,,,
flipkart-1777feeeb879bc5ad6a21ed5edfd4000,SJCAM Sports Action Camera M20 4K at 24fps UHD Action Camera 16MP Sony Sensor Gyro Stabilization/ 166° Wide FOV Distortion Correction Sports and Action Camera,,,SJCAM,,,,https://rukminim1.flixcart.com/image/128/128/jbzedu80-1/sports-action-camera/c/k/t/m20-4k-at-24fps-uhd-action-camera-16mp-sony-sensor-gyro-original-imaff6kgwczvth54.jpeg?q=70,,,,,,,
flipkart-187961eb0a97ac3658ad0c4ced126a07,Sony DSC-HX60V Point & Shoot Camera,,,Sony,,,,https://rukminim1.flixcart.com/image/128/128/camera/c/5/f/sony-cyber-shot-dsc-hx60v-point-shoot-original-imadvgz7m2ffktjt.jpeg?q=70,,,,,4.4,,19
flipkart-188256f9f15ad8b242fec30052ae13bd,DMG 4K Wifi Waterproof Helmet 2 inch LCD Display Ultra-HD 12MP 170Â° Wide Angle Lens Full HD Sports and Action Camera,,,DMG,,,,https://rukminim1.flixcart.com/image/128/128/sports-action-camera/n/a/g/waterproof-helmet-2-inch-lcd-display-ultra-hd-12mp-170-wide-original-imaergwfejf3cbcv.jpeg?q=70,,,,,3.6,,1
flipkart-1946d0c6bf2eb0f3444cdf4b41a7f088,Benison India ™SportsAction Cam Holder Sports & Action Camera,,,Benison India,,,,https://rukminim1.flixcart.com/image/128/128/j3hm5jk0-1/sports-action-camera/q/f/m/4-mini-hero-1080p-junaldo-original-imaetxhxjuwnyznh.jpeg?q=70,,,,,,,
flipkart-19a69172a1a4a4f56620bea0e0e533ea,SJCAM SJDASH WIFI Dashcam Smart Car DVR Novatek NT96658 1080P Dash Cam 3.0 inch DVR-2.4GHz WiFi Wireless Connection Sports & Action Camera,,,SJCAM,,,,https://rukminim1.flixcart.com/image/128/128/jcc9ci80/camera/9/n/h/sjcam-sjcam-sjdash-wifi-sjdash-wifi-dashcam-smart-car-dvr-original-imaffhmyhvsjq3wf.jpeg?q=70,,,,,,,
flipkart-1a16904aa2b4bf5bc82058e5eb7395d0,"OVIO Sports Action Camera ThiEYE T5 Edge 4K Action Camera Wifi Waterproof Sport Video Camera 14MP Ultra-HD 2"" IPS Screen with EIS, APP & Voice Control with Remote Control, 170 Wide Angle, Battery and Full Accessorie Sports and Action Camera",,,OVIO,,,,https://rukminim1.flixcart.com/image/128/128/jchz3ww0/sports-action-camera/g/p/j/thieye-t5-edge-4k-action-camera-wifi-waterproof-sport-video-original-imaffmbuqgc4tgpn.jpeg?q=70,,,,,,,
flipkart-1a214507fd7bf1b62931f8c3388fe5cc,Benison India ™Mini Ultra HD 1080P DV Recorder Camcorder Waterproof Cam Holder Sports & Action Camera,,,Benison India,,,,https://rukminim1.flixcart.com/image/128/128/j2ur3ww0/camera/c/t/c/benison-india-powershot-mini-ultra-hd-1080p-dv-recorder-original-imaetxhx9tszuakd.jpeg?q=70,,,,,,,
flipkart-1b1d53d7899f94aa698333b723e6478c,GoPro Hero4-CHDHX-401 Sports & Action Camera,,,GoPro,,,,https://rukminim1.flixcart.com/image/128/128/camera/p/9/h/gopro-hero4-chdhx-401-sports-action-original-imae43jnhghhjqgm.jpeg?q=70,,,,,4.5,,5
flipkart-1bbfe3bd722509b4547a514f9a47a71e,,,,,,,,,,,,,,,
flipkart-1c25dabe35f884da0368384c6c923a07,Noise Play Sports and Action Camera,,,Noise,,,,https://rukminim1.flixcart.com/image/128/128/j6pctjk0/sports-action-camera/d/d/d/play-play-play-noise-original-imaex44mfhg9fgg3.jpeg?q=70,,,,,3.7,,73
flipkart-1c75c32c24c72db46ea7cbacaa975441,Nikon D4S DSLR Camera (Body only),,,Nikon,,,,https://rukminim1.flixcart.com/image/128/128/camera/g/8/v/nikon-d4s-dslr-original-imaehc9wqmk4tkjk.jpeg?q=70,,,,,4.1,,58
flipkart-1cee2f0f86708a9aa9ef3df459b162d2,Pluto Plus Pro Action Camera Pro 5 Sports and Action Camera,,,Pluto Plus,,,,https://rukminim1.flixcart.com/image/128/128/jdxeykw0/sports-action-camera/8/f/g/pro-5-pro-action-camera-pro-5-pluto-plus-original-imaf2p5tqzrf2hjf.jpeg?q=70,,,,,,,
flipkart-1d15b0275f3fd1f9bf758a2171154665,,,,,,,,,,,,,,,
flipkart-1e67bb4a8e74381455e2fa8ebd2b75bc,Pentax K 50 (Body with DA 18-135 mm WR Lens) DSLR Camera,,,Pentax,,,,https://rukminim1.flixcart.com/image/128/128/camera/u/z/3/pentax-k-50-da-18-135-mm-wr-lens-slr-original-imadtqdamqgckbz9.jpeg?q=70,,,,,3.7,,1
flipkart-1e9d3d00b0923058f9ffe984fd945e4d,CM sportcam Waterproof in hd Sports and Action Camera,,,CM,,,,https://rukminim1.flixcart.com/image/128/128/sports-action-camera/t/n/c/sportscam-sportscam-122-cm-waterproof-screen-original-imaemuymmq8pffmc.jpeg?q=70,,,,,3.2,,2
flipkart-1fb0551b3048fd5c0449b6b64ab2ce74,,,,,,,,,,,,,,,
flipkart-2252340236d127f27769acfddcd78868,Drumstone wifi Camera Wifi 4K Ultra HD Waterproof Sports Camera with 2 inch LCD Display Sports and Action Camera,,,Drumstone,,,,https://rukminim1.flixcart.com/image/128/128/jc299jk0/sports-action-camera/d/w/d/wifi-4k-ultra-hd-waterproof-sports-camera-with-2-inch-lcd-original-imaff9zd7ekyr8kw.jpeg?q=70,,,,,2.9,,1
