identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
robertscamera-191dba6c9dd0f5a1f6de055f9b116e4e,Nikon 		D810A (Body Only),USD,3796.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-191e3bee5f0da0ee36a7850903670dfb,Nikon 		Coolpix B500,USD,256.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-19469e4b96855e33393662e4a26656b3,Canon 		PowerShot SX540 HS,USD,399.99,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-1aa9066550b36453d375abea4ddc3ca9,Sony 		HXRMC2000U Shoulder Mount AVCHD camcorder,USD,1699,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-1b46aee8eaaa8147542a1fda857a7bf1,Sony 		HDR-PJ650V Handycam,USD,1099.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-1d41cd2e5990635a0f7d519b020643c7,Sony 		Cybershot DSC-WX500 High-zoom Point and Shoot Camera,USD,349.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-1e25d6477b5d3f84c440f48c94bed185,Panasonic 		DMC-GX85 (Body Only) (Black),USD,699.99,Panasonic,new,https://schema.org/InStock,,,,,,,,,
robertscamera-1fc3ec14c6c290ee240e0ec1b485c4b1,Samsung 		Digimax L85,USD,299.97,Samsung,new,https://schema.org/InStock,,,,,,,,,
robertscamera-21333d5eb4ecdce3e93b19f3bb7e28d7,Canon 		PowerShot SX620 HS,USD,249.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-216e3331a1b6143bb79fbac4a5460567,Panasonic 		AG-DVX200PJ 4/3” Large Format 4K/HD Handheld Camcorder,USD,4695,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-217a3eec8a8a04cc9b1caf17865cabce,Sony 		HDR-CX210 Handycam Camcorder,USD,349.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-21877c14fa4e328c3d898a325b791fae,Nikon 		D750 Filmmaker's Kit,USD,3906.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2401940e1e62aaf7160717187d7167b1,Drift Innovation 		HD170 Stealth Camera,USD,349.97,Drift Innovation,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2582ad131f6aa0f7fbdfb2a58d1cd23b,Sony 		HDR-AS10 Action Cam,USD,199.99,Sony,new,https://schema.org/InStock,,,,,,,,,
robertscamera-2636c0593a6786c5d84c9bd6120f8741,FujiFilm 		X-M1 with 16-50mm,USD,599.95,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-26837e5e85709cc18bca653c204e1411,Canon 		EOS 6D Mark II (Body Only),USD,1999,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-271776fa638063191effe4e029be2ae6,Canon 		XF105 camcorder,USD,2999,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-27fe8ec5525b94f7e97723bcd17e6251,Nikon 		D7500 with 18-300mm VR Lens,USD,1876.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-28e707de1c214fd931df3a191f148b99,Sony 		HDR-AS15 Action Cam with WiFi,USD,199.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-294e7750c1282ae1bf830a163b34ccb1,Canon 		VIXIA mini,USD,299.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2a3c7ca452806d190a0fdd59ce1be48b,Samsung 		NX1 Smart Camera (Body Only),USD,1499.99,Samsung,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2a70ef600fce891459e20f1c7a5f848f,Canon 		VIXIA HF R300 Camcorder,USD,299.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2befdfa9219b0c614cfaf583e4d2057c,Sony 		HDR-CX580V Handycam Camcorder,USD,799.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2bf6ab762afa627dcdbd95d9c6aa04e3,Canon 		EOS 80D with 18-135mm,USD,1799,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-2c2bd1a44605b876ff0a72ea1a30b5ce,Nikon 		1 J4 with 10-30mm,USD,396.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2cb09dff8a0a81ff2485d0fee764515b,Sony 		a7R II (Body Only),USD,2899.99,Sony,new,https://schema.org/InStock,,,,,,,,,
