,id,name,prod_cat,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
26,pictureline-3dd4a1ce787535677ba02c0d9809402b,Fujifilm X-E3 Digital Camera Silver,,USD,89995,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/X-E3_Silver_Front_33b8c924-76a6-4324-ae1c-74e3ac953449_grande.jpg?v=1507675466,074101034738,,,,0,5,0
27,pictureline-3e098c9ca07b81aa82094f8dfa867bf6,Fujifilm INSTAX Mini 70 Instant Film Camera (Moon White),,USD,11995,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/Screen_Shot_2016-12-02_at_11.48.57_AM_grande.png?v=1480704564,4547410313826,,,,5,5,1
28,pictureline-3f3806e4f36031fd41d96aa69ac269e3,Fujifilm X-T2 Digital Camera w/ 18-55mm Lens Kit (Black),,USD,189900,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/X-T2_BK_18-55mm_front_White-216332_grande.jpg?v=1476995352,074101029505,,,,5,5,2
29,pictureline-404f09d5209a2bf091a02fb97f0ee733,Panasonic Lumix DMC-FZ300 Digital Camera,,USD,59799,Panasonic,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/Screen_Shot_2015-10-29_at_2.41.40_PM_grande.png?v=1477677633,885170254374,,,,0,5,0
30,pictureline-40d8e3a1cffecd8671f0b3de56966bc2,Panasonic Lumix DC-ZS200 Digital Camera (Black),,USD,79799,Panasonic,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/DC-ZS200K_ALT01_grande.jpg?v=1521647917,885170331907,,,,0,5,0
31,pictureline-41e3c800e3ca7602f4e6b13348150bb1,Fujifilm X-E2 Digital Camera Black,,USD,79995,Fujifilm,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/fuji_1_xe2_black_1_grande.jpeg?v=1449615857,074101023435,,,,0,5,0
32,pictureline-43ba4573f3c862bc408e0650937f430c,Canon EOS 80D DSLR Camera (Body Only),,USD,99900,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/80d-6_grande.png?v=1455814652,013803271829,,,,0,5,0
33,pictureline-43fec25ea9c2187250cfc0870b866606,Panasonic DMC-G85 Mirrorless Micro Fourth Thirds Camera with 12-60mm Lens,,USD,99799,Panasonic,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/DMC-G85MK_ALT01_134e137a-297d-4c2f-bec1-c8a90eaa7aee_grande.jpg?v=1510338226,885170294646,,,,0,5,0
34,pictureline-44d91c0be6d73542426b261e062ae9e0,Canon EOS Rebel T6 18-55mm IS II Kit (Black),,USD,44999,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/Screen_Shot_2016-03-10_at_2.11.53_PM_grande.png?v=1457644354,013803271348,,,,0,5,0
35,pictureline-44ecdffa894a47bfb697bc4046115f61,Panasonic Lumix DMC-G7 Mirrorless Digital Camera with 14-42mm Lens (Black),,USD,79799,Panasonic,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/G7_k_front_H_FS1442A-KA_grande.jpeg?v=1477677579,885170250710,,,,0,5,0
36,pictureline-45000e6b87a89952bfc05449f77cfffb,Hasselblad X1D-50c Body (no lens) - 50MP Mirrorless camera body,,USD,899500,Hasselblad,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/x1d-front_grande.jpg?v=1492442751,7392544139012,,,,1,5,0
37,pictureline-45db95ba834b5ae71fd0e92a695a9975,Sony Alpha a6300 Mirrorless Digital Camera Body,,USD,89800,Sony,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/6300sensor_grande.png?v=1454964131,027242891012,,,,5,5,1
38,pictureline-4710ac0555294dde5954c378ad72c06b,Canon EOS Rebel T7i DSLR 18-55mm STM Camera Kit,,USD,84999,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/HR_T7i_EFS18-55_IS_STM_TOPFRONT_CL_grande.jpg?v=1489533868,013803286519,,,,0,5,0
39,pictureline-4b1518b6bb17c67b033fbd76b56b03c2,Fujifilm X-H1 Digital Camera with VPB-XH1 Power Booster Grip Kit,,USD,219995,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/X-H1_Black_Front_VPB-XH1_XF18-55mm_grande.jpg?v=1520877170,,,,,0,5,0
40,pictureline-4bd2660944764c59656912e63b931fb3,Fujifilm INSTAX Mini 70 Instant Film Camera (Canary Yellow),,USD,11995,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/Screen_Shot_2016-12-02_at_11.50.31_AM_grande.png?v=1480704655,074101199048,,,,0,5,0
41,pictureline-4c480f3b96b96e3919ceec4a14369a00,Sony Alpha A7 III with FE 28-70mm f3.5-5.6 OSS Lens Kit,,USD,219800,Sony,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/ILCE-7M3_FE2870_front_US_93efb9a6-b399-454c-8294-043f1b0090ad_grande.jpg?v=1520961885,027242910775,,,,0,5,0
42,pictureline-4d994dd957881585f673a3f8100d882b,Canon EOS 80D DSLR Camera with 18-135mm IS USM Lens,,USD,139900,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/80d18-135mm_grande.png?v=1455918552,013803271843,,,,0,5,0
43,pictureline-4e025cdcb7d2f32a6440d40cebe650ef,Nikon D3400 DX-format Digital SLR Camera w/ 18-55mm DX G VR Zoom Lens Black,,USD,49695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/D3400_BK_18_55_VR_front_grande.jpg?v=1471467185,018208015719,,,,0,5,0
44,pictureline-4fa457674528fa3b869fdb86d48b5ddd,Panasonic Lumix DMC-ZS100 Digital Camera (Black),,USD,54799,Panasonic,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/01_TZ100_ZS100_k1-1470_grande.jpg?v=1477677845,885170282681,,,,0,5,0
45,pictureline-578c6feec67b593a1b3631b5ad234718,Sony Cyber-Shot DSC-HX80 Digital Camera,,USD,36800,Sony,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/download-5_9ee79422-793c-476a-bbae-72f0194f08e7_grande.jpg?v=1501105510,027242899551,,,,5,5,1
46,pictureline-584ed65f665d22c14bb589dad46603ce,Canon EOS Rebel T7i DSLR Camera Body,,USD,74999,Canon,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/HR_T7i_BODY_FRONT_CL_grande.jpg?v=1487201109,013803286496,,,,5,5,1
47,pictureline-59f514bc6f2e6d5c3b80b09eb6c9d6f1,Canon EOS Rebel T6 18-55mm + 75-300mm + Bag Kit,,USD,54999,Canon,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/eos-rebel-double-zoom-lens-kit_1_xl_grande.jpg?v=1458333137,660685152731,,,,0,5,0
48,pictureline-5be0bedfc68edbb3f99a9176caccf65c,Fujifilm X-T2 Digital Camera Body (Graphite),,USD,179900,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/X-T2_Graphite_Silver_front_White_grande.jpg?v=1491249555,074101029819,,,,0,5,0
49,pictureline-5c37179a0a26e570f1c5a44e50fa360c,Canon EOS 5DS R Digital Camera Body,,USD,369900,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/HR_5DS_R_BODY_FRONT_DOWN_CL_1024x1024_d6f2bb7c-f285-4558-8347-122ebcbb1507_grande.jpeg?v=1449614543,013803256963,,,,0,5,0
50,pictureline-5cad53455691f5471b17f292ae5033d0,Nikon D7500 DSLR Camera with 16-80mm Lens,,USD,184695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/13535-D7500_grande.jpg?v=1510004767,018208015825,,,,0,5,0
51,pictureline-5dbee35088c6f312c874ba9038ab7ba9,Panasonic Lumix DC-GX9 Mirrorless Micro Four Thirds Digital Camera w/ 12-60mm Lens (Black),,USD,99799,Panasonic,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/GX9_MKIT_front_K_grande.jpg?v=1521820631,,,,,0,5,0
