id;id_2;name;brand;type;color;itemCondition;availability;priceCurrency;price;megapixels;optical_zoom;video_resolution;iso_range;unit;width;height;depth;unit2;value;model;has_wifi;has_bluetooth;battery
newegg-2cd02d3f87a40ff3c3d699022a6a0049;camera_029;Canon PowerShot G7 X Mark II Digital Camera;Canon;Point and Shoot;Black;NewCondition;InStock;USD;679;20.9;4.2;1080p Full HD;125-6400;inches;4.15;2.4;1.65;ounce;11.3;PowerShot G7 X Mark II;yes;no;NB-13L
newegg-1be71dcbd36c2177cbc103181b9047a0;camera_030;SONY Cyber-shot W800 Black 20.1 MP 5X Optical Zoom Digital Camera;SONY;Point and Shoot;Black;NewCondition;InStock;USD;96.99;20.4;5x;1280x720;Auto / 100 / 200 / 400 / 800 / 1600 / 3200;inches;2;0.88;2.25;ounce;4.7;Cyber-shot W800;no;no;LITHIUM ION NP-BN 3.6V
newegg-6a252d2a458c7629d63fa79fd3f33169;camera_031;Panasonic LUMIX DMC-FZ70K Black 16.1 MP 60X Optical Zoom Digital Camera;Panasonic;Point and Shoot;Black;NewCondition;InStock;USD;315.99;16.8;60x;1920 x 1080;Auto / i.ISO / 100 / 200 / 400 / 800 / 1600 / 3200;inches;5.13;3.82;4.65;pound;1.34;LUMIX DMC-FZ70K;no;no;Li-ion Battery Pack (7.2V, 895mAh, 6.5 Wh)
wilkinson-71490ac21d1e7695a59274ab3a3757ff;camera_032;Ricoh WG-M2 Action Camera (Orange) - Triple Battery  16GB SD Card kit;Ricoh;Point and Shoot;Orange;NewCondition;InStock;GBP;149.99;8;1.6mm;3840x2160;AUTO /AUTO-Hi /200 /400 /800 /1600 /3200 /6400;inch;2.3;1.3;3.1;gram;136;WG-M2;yes;yes;Rechargeable Li-Ion battery D-LI68
newegg-4414686e5a38bc6bc16da7f55386d339;camera_033;FUJIFILM FinePix JX660 Black 16 MP 5X Optical Zoom 26mm Wide Angle Digital Camera;Fujifilm;Point and Shoot;Black;NewCondition;InStock;USD;182.15;16;5x;1280 x 720;3200;inch;3.7;0.8;3.2;ounce;3.67;FinePix JX660;no;no;Li-ion Battery Pack
currys-42e3ae294acbae3ff39814b4e011d0a7;camera_034;OLYMPUS OM-D E-M10 Mark III Mirrorless Camera with M.ZUIKO DIGITAL ED 14-42 mm f 3.5-5.6 EZ  ED 40-150 mm f 4-5.6 R Lens;OLYMPUS;Point and Shoot;Red;NewCondition;InStock;GBP;799.99;16.1;10.7x;3840 x 2160;80 - 1600;mm;121.5;83.6;49.5;gram;453;E-M10;yes;yes;BLS-50
newegg-b2b4d925966f12d9ac42ed1ff12bd52b;camera_035;Kodak FZ41-SL Silver 16.15 Megapixels 4X Optical Zoom Wide Angle Friendly Zoom Digital Camera;KODAK;Point and Shoot;Silver;NewCondition;InStock;USD;409.61;16.15;4x;720p;80/100/200/400/1600;mm;93.3;60.4;26.6;gram;116;FZ41-SL;no;no;2 x AA Batteries
newegg-c9d52e9468374b957443b75efc62b1e6;camera_036;Polaroid iE826 Red 18 MP 8X Optical Zoom Digital Camera;Polaroid;Point and Shoot;Red;NewCondition;InStock;USD;54.99;18;8x;1920 x 1080;400;inch;6.9;8.6;1.5;pound;0.65;iE826;no;no;1 x Rechargeable Lithium-Ion Battery Pack
newegg-656c40a43424ccad24019a4e2c2c3886;camera_037;"SONY Alpha a5100 ILCE-5100L/W White 24.3 MP 3.0"" 921.6K Touch LCD Mirrorless Camera w/ 16-50mm lens";Sony;Mirrorless Cameras;White;NewCondition;InStock;USD;548;24.3;3x;1920 x 1080;100 - 25600;inch;4.38;2.5;1.44;ounce;10;Alpha a5100;yes;no;NP-FW50
currys-fe294b719db6089626135201e8703067;camera_038;PANASONIC Lumix DMC-G7EB-K Mirrorless Camera with 14-42 mm f/3.5-5.6 Lens;PANASONIC;Mirrorless Cameras;White;NewCondition;InStock;USD;499;16;3x;3840 x 2160;100 - 25600;mm;124.9;86.2;77.4;gram;365;DMC-G7EB-K;yes;no;Lithium-Ion
currys-f9e4adf55fc84b4377675bf3a594a579;camera_039;OLYMPUS PEN-F V204060SU000 Black Digital Camera Body Only;OLYMPUS;Mirrorless Cameras;Black;NewCondition;InStock;GBP;549;16.1;3x;1920 x 1080;100 - 25600;mm;234;95;226;gram;390;PEN-F;yes;yes;BLN-1
newegg-3d34e2ed21c48ff9a831426f417d9934;camera_040;FUJIFILM X-T2 16519247 Black Compact Mirrorless System Camera Body;FUJIFILM;Mirrorless Cameras;Black;NewCondition;InStock;GBP;1,598.00;24.3;0.77x;3840 x 2160;51200;inch;5.2;3.6;1.9;pound;1.12;X-T2;yes;no;NP-W126S Rechargeable Lithium-ion Battery Pack
currys-5efbe1e5dd343021f894d26c451800b0;camera_041;CANON EOS M50 Mirrorless Camera with EF-M 15-45 mm f/3.5-5.6 IS STM Lens;CANON;Mirrorless Cameras;Black;NewCondition;InStock;GBP;649.99;24.1;3x;3840 x 2160;100 - 25600;mm;116.3;88.1;58.7;gram;517;M50;yes;yes;Lithium-ion LP-E12
currys-96169f0295eb3739c10d522b365a8b3e;camera_042;NIKON 1 J5 Mirrorless Camera with 10-30 mm f/3.5-5.6 VR Lens - White;NIKON;Mirrorless Cameras;White;NewCondition;InStock;GBP;399.99;20.8;3x;4K Ultra HD;200 - 12800;mm;98.3;59.7;31.5;gram;265;J5;yes;no;Lithium-ion EN-EL24
wilkinson-5a465d61f758bf55d8d00b767265a023;camera_043;Impossible I-1 Camera;Impossible;Instant Film Cameras;Black;New;In Stock;GBP;149;NA;NA;NA;NA;inch;9;5.3;5.2;grams;440;I-1;yes;yes;500mAh high performance lithium ion battery
newegg-01fad21374ee79c1979ab376aea41c86;camera_044;SAMSUNG NX30 Mirrorless Digital Camera with 18-55mm f/3.5-5.6 OIS Lens;SAMSUNG;Mirrorless cameras;Black;NewCondition;InStock;USD;799.99;20.3;3x;30p;100-25600;inch;5;3.76;1.64;pound;0.83;NX30;no;no;1x BP1410 Rechargeable Lithium-Ion Battery Pack
currys-fbc8db2841a4f1af572d188445f31aab;camera_045;NIKON COOLPIX P900 Bridge Camera - Black;Nikon;Bridge Cameras;Black;NewCondition;InStock;GBP;479.99;16;83 x;Full HD 1920 x 1080p;100 - 6400;mm;139.5;103.2;137.4;g;899;p900;yes;yes;Lithium-ion EN-EL23
currys-267b371a68ca0fbfbb0fa0fde7766f68;camera_046;CANON PowerShot SX540 HS Bridge Camera - Black;CANON;Bridge Cameras;Black;NewCondition;InStock;GBP;279;20.3;50 x;Full HD 1920 x 1080p;80 - 3200;mm;120;81.7;91.9;g;442;SX540;yes;no;Lithium-Ion NB-6LH
currys-75f49759ddd8c0125a1392cff3e3994f;camera_047;SONY Cyber-shot DSCH300B Bridge Camera;SONY;Bridge Cameras;Black;NewCondition;InStock;GBP;139;20.1;35 x;HD 1280 x 720p;80 - 3200;mm;127.5;89;91.7;g;590;DSCH300B;no;no;AA battery
currys-8d47d47e2e7837c0d1b358c2e6a0bb62;camera_048;KODAK PIXPRO AZ401 Bridge Camera - Black;KODAK;Bridge Cameras;Black;NewCondition;InStock;GBP;149;16.1;40 x;HD 1280 x 720p;80 - 3200;mm;82;114;84;g;436;AZ401;no;no;AA x 4
currys-999f69863731a6a8edbfce37d1b59e08;camera_049;PANASONIC Lumix DC-FZ82EB-K Bridge Camera - Black;PANASONIC;Bridge Cameras;Black;NewCondition;InStock;GBP;329;18.9;60 x;Full HD 1920 x 1080p;80 - 6400;mm;130.2;94.3;119.2;g;616;DC-FZ82EB-K;yes;no;Lithium-Ion
bestbuy-c0b452415ac932d8c7252e0fb487d3be;camera_050;Olympus - TG-Tracker 4K Waterproof Action Camera - Green;Olympus;Action Cameras;Green;NewCondition;InStock;USD;306.99;30;NA;3840 x 2160;NA;inches;1.4;2.2;3.7;pounds;0.4;V104180EU000;yes;yes;Olympus Li-92B
